t,orig,recon
0,0.0999391966,0.00116807738
0.01,0.0999391966,0.00110485338
0.02,0.0999391966,0.00104129643
0.03,0.0999391966,0.000977420302
0.04,0.0989391966,0.000913238865
0.05,0.0989391966,0.000848766074
0.06,0.0989391966,0.000784015967
0.07,0.0979391966,0.000719002665
0.08,0.0979391966,0.000653740365
0.09,0.0969391966,0.000588243341
0.1,0.0959391966,0.000522525934
0.11,0.0959391966,0.000456602558
0.12,0.0949391966,0.000390487686
0.13,0.0939391966,0.000324195854
0.14,0.0929391966,0.000257741655
0.15,0.0919391966,0.000191139737
0.16,0.0909391966,0.000124404797
0.17,0.0899391966,5.75515774e-05
0.18,0.0889391966,-9.40513324e-06
0.19,0.0879391966,-7.64505084e-05
0.2,0.0859391966,-0.000143569685
0.21,0.0849391966,-0.000210747768
0.22,0.0829391966,-0.000277969832
0.23,0.0819391966,-0.000345220927
0.24,0.0799391966,-0.000412486082
0.25,0.0789391966,-0.000479750307
0.26,0.0769391966,-0.000546998596
0.27,0.0749391966,-0.000614215935
0.28,0.0739391966,-0.000681387299
0.29,0.0719391966,-0.000748497664
0.3,0.0699391966,-0.000815532001
0.31,0.0679391966,-0.000882475287
0.32,0.0659391966,-0.000949312506
0.33,0.0639391966,-0.00101602865
0.34,0.0619391966,-0.00108260874
0.35,0.0599391966,-0.00114903779
0.36,0.0579391966,-0.00121530085
0.37,0.0559391966,-0.001281383
0.38,0.0539391966,-0.00134726933
0.39,0.0519391966,-0.001412945
0.4,0.0499391966,-0.00147839516
0.41,0.0469391966,-0.00154360504
0.42,0.0449391966,-0.00160855987
0.43,0.0429391966,-0.00167324498
0.44,0.0399391966,-0.0017376457
0.45,0.0379391966,-0.00180174746
0.46,0.0359391966,-0.0018655357
0.47,0.0329391966,-0.00192899597
0.48,0.0309391966,-0.00199211384
0.49,0.0289391966,-0.00205487498
0.5,0.0259391966,-0.00211726513
0.51,0.0239391966,-0.00217927008
0.52,0.0209391966,-0.00224087572
0.53,0.0189391966,-0.00230206802
0.54,0.0169391966,-0.00236283304
0.55,0.0139391966,-0.00242315691
0.56,0.0119391966,-0.00248302588
0.57,0.00893919663,-0.00254242627
0.58,0.00693919663,-0.00260134452
0.59,0.00493919663,-0.00265976716
0.6,0.00193919663,-0.00271768082
0.61,-6.08033657e-05,-0.00277507227
0.62,-0.00206080337,-0.00283192835
0.63,-0.00506080337,-0.00288823606
0.64,-0.00706080337,-0.00294398248
0.65,-0.00906080337,-0.00299915484
0.66,-0.0120608034,-0.00305374047
0.67,-0.0140608034,-0.00310772686
0.68,-0.0160608034,-0.00316110161
0.69,-0.0180608034,-0.00321385245
0.7,-0.0210608034,-0.00326596727
0.71,-0.0230608034,-0.00331743409
0.72,-0.0250608034,-0.00336824106
0.73,-0.0270608034,-0.0034183765
0.74,-0.0290608034,-0.00346782886
0.75,-0.0310608034,-0.00351658676
0.76,-0.0330608034,-0.00356463897
0.77,-0.0350608034,-0.00361197441
0.78,-0.0370608034,-0.00365858216
0.79,-0.0390608034,-0.00370445148
0.8,-0.0400608034,-0.00374957178
0.81,-0.0420608034,-0.00379393265
0.82,-0.0440608034,-0.00383752384
0.83,-0.0450608034,-0.00388033529
0.84,-0.0470608034,-0.00392235711
0.85,-0.0490608034,-0.00396357958
0.86,-0.0500608034,-0.00400399318
0.87,-0.0520608034,-0.00404358855
0.88,-0.0530608034,-0.00408235654
0.89,-0.0540608034,-0.00412028818
0.9,-0.0560608034,-0.00415737468
0.91,-0.0570608034,-0.00419360747
0.92,-0.0580608034,-0.00422897814
0.93,-0.0590608034,-0.00426347851
0.94,-0.0600608034,-0.00429710059
0.95,-0.0610608034,-0.00432983657
0.96,-0.0620608034,-0.00436167888
0.97,-0.0630608034,-0.00439262012
0.98,-0.0640608034,-0.00442265314
0.99,-0.0650608034,-0.00445177095
1,-0.0660608034,-0.00447996681
1.01,-0.0660608034,-0.00450723418
1.02,-0.0670608034,-0.00453356672
1.03,-0.0680608034,-0.00455895834
1.04,-0.0680608034,-0.00458340313
1.05,-0.0690608034,-0.00460689542
1.06,-0.0690608034,-0.00462942977
1.07,-0.0690608034,-0.00465100094
1.08,-0.0700608034,-0.00467160392
1.09,-0.0700608034,-0.00469123394
1.1,-0.0700608034,-0.00470988643
1.11,-0.0700608034,-0.00472755709
1.12,-0.0700608034,-0.00474424179
1.13,-0.0700608034,-0.00475993668
1.14,-0.0700608034,-0.00477463811
1.15,-0.0700608034,-0.00478834269
1.16,-0.0700608034,-0.00480104722
1.17,-0.0690608034,-0.00481274879
1.18,-0.0690608034,-0.00482344467
1.19,-0.0690608034,-0.0048331324
1.2,-0.0680608034,-0.00484180974
1.21,-0.0680608034,-0.0048494747
1.22,-0.0680608034,-0.0048561255
1.23,-0.0670608034,-0.00486176064
1.24,-0.0660608034,-0.00486637881
1.25,-0.0660608034,-0.00486997898
