t,orig,recon
0,0.0999391966,0.104398877
0.01,0.0999391966,0.105385136
0.02,0.0999391966,0.106287575
0.03,0.0999391966,0.107099378
0.04,0.0989391966,0.107813977
0.05,0.0989391966,0.108425125
0.06,0.0989391966,0.108926966
0.07,0.0979391966,0.109314101
0.08,0.0979391966,0.109581645
0.09,0.0969391966,0.109725282
0.1,0.0959391966,0.109741314
0.11,0.0959391966,0.109626696
0.12,0.0949391966,0.109379072
0.13,0.0939391966,0.108996798
0.14,0.0929391966,0.108478957
0.15,0.0919391966,0.107825365
0.16,0.0909391966,0.107036569
0.17,0.0899391966,0.10611384
0.18,0.0889391966,0.105059151
0.19,0.0879391966,0.10387515
0.2,0.0859391966,0.102565129
0.21,0.0849391966,0.101132981
0.22,0.0829391966,0.0995831538
0.23,0.0819391966,0.097920596
0.24,0.0799391966,0.0961506994
0.25,0.0789391966,0.0942792377
0.26,0.0769391966,0.0923123014
0.27,0.0749391966,0.0902562309
0.28,0.0739391966,0.0881175484
0.29,0.0719391966,0.0859028893
0.3,0.0699391966,0.0836189344
0.31,0.0679391966,0.0812723441
0.32,0.0659391966,0.0788696944
0.33,0.0639391966,0.0764174165
0.34,0.0619391966,0.0739217412
0.35,0.0599391966,0.0713886465
0.36,0.0579391966,0.0688238122
0.37,0.0559391966,0.0662325799
0.38,0.0539391966,0.0636199185
0.39,0.0519391966,0.0609903979
0.4,0.0499391966,0.0583481682
0.41,0.0469391966,0.0556969472
0.42,0.0449391966,0.0530400134
0.43,0.0429391966,0.0503802076
0.44,0.0399391966,0.0477199399
0.45,0.0379391966,0.0450612038
0.46,0.0359391966,0.0424055958
0.47,0.0329391966,0.0397543415
0.48,0.0309391966,0.0371083251
0.49,0.0289391966,0.0344681251
0.5,0.0259391966,0.0318340522
0.51,0.0239391966,0.0292061909
0.52,0.0209391966,0.0265844432
0.53,0.0189391966,0.0239685736
0.54,0.0169391966,0.0213582549
0.55,0.0139391966,0.0187531138
0.56,0.0119391966,0.0161527757
0.57,0.00893919663,0.013556908
0.58,0.00693919663,0.0109652606
0.59,0.00493919663,0.00837770463
0.6,0.00193919663,0.00579426643
0.61,-6.08033657e-05,0.0032151583
0.62,-0.00206080337,0.000640804718
0.63,-0.00506080337,-0.00192813633
0.64,-0.00706080337,-0.0044907569
0.65,-0.00906080337,-0.0070458879
0.66,-0.0120608034,-0.00959209315
0.67,-0.0140608034,-0.0121276688
0.68,-0.0160608034,-0.0146506476
0.69,-0.0180608034,-0.0171588088
0.7,-0.0210608034,-0.0196496923
0.71,-0.0230608034,-0.0221206171
0.72,-0.0250608034,-0.0245687043
0.73,-0.0270608034,-0.0269909035
0.74,-0.0290608034,-0.0293840218
0.75,-0.0310608034,-0.0317447561
0.76,-0.0330608034,-0.0340697266
0.77,-0.0350608034,-0.0363555122
0.78,-0.0370608034,-0.038598686
0.79,-0.0390608034,-0.040795852
0.8,-0.0400608034,-0.0429436796
0.81,-0.0420608034,-0.0450389391
0.82,-0.0440608034,-0.0470785335
0.83,-0.0450608034,-0.0490595298
0.84,-0.0470608034,-0.0509791868
0.85,-0.0490608034,-0.0528349801
0.86,-0.0500608034,-0.0546246235
0.87,-0.0520608034,-0.0563460873
0.88,-0.0530608034,-0.057997612
0.89,-0.0540608034,-0.0595777183
0.9,-0.0560608034,-0.061085213
0.91,-0.0570608034,-0.0625191907
0.92,-0.0580608034,-0.0638790312
0.93,-0.0590608034,-0.065164393
0.94,-0.0600608034,-0.0663752037
0.95,-0.0610608034,-0.0675116458
0.96,-0.0620608034,-0.0685741403
0.97,-0.0630608034,-0.0695633266
0.98,-0.0640608034,-0.070480041
0.99,-0.0650608034,-0.0713252922
1,-0.0660608034,-0.0721002361
1.01,-0.0660608034,-0.0728061491
1.02,-0.0670608034,-0.0734444008
1.03,-0.0680608034,-0.0740164272
1.04,-0.0680608034,-0.0745237038
1.05,-0.0690608034,-0.0749677197
1.06,-0.0690608034,-0.0753499532
1.07,-0.0690608034,-0.075671849
1.08,-0.0700608034,-0.0759347978
1.09,-0.0700608034,-0.0761401178
1.1,-0.0700608034,-0.0762890391
1.11,-0.0700608034,-0.0763826917
1.12,-0.0700608034,-0.0764220955
1.13,-0.0700608034,-0.0764081543
1.14,-0.0700608034,-0.0763416526
1.15,-0.0700608034,-0.0762232559
1.16,-0.0700608034,-0.0760535142
1.17,-0.0690608034,-0.075832868
1.18,-0.0690608034,-0.0755616577
1.19,-0.0690608034,-0.0752401354
1.2,-0.0680608034,-0.0748684792
1.21,-0.0680608034,-0.0744468089
1.22,-0.0680608034,-0.0739752045
1.23,-0.0670608034,-0.0734537246
1.24,-0.0660608034,-0.0728824267
1.25,-0.0660608034,-0.0722613882
1.26,-0.0650608034,-0.071590726
1.27,-0.0640608034,-0.0708706178
1.28,-0.0640608034,-0.0701013212
1.29,-0.0630608034,-0.0692831921
1.3,-0.0620608034,-0.0684167024
1.31,-0.0610608034,-0.0675024547
1.32,-0.0600608034,-0.0665411961
1.33,-0.0590608034,-0.0655338291
1.34,-0.0580608034,-0.0644814202
1.35,-0.0570608034,-0.0633852059
1.36,-0.0560608034,-0.0622465958
1.37,-0.0550608034,-0.0610671734
1.38,-0.0540608034,-0.0598486933
1.39,-0.0530608034,-0.0585930766
1.4,-0.0520608034,-0.0573024028
1.41,-0.0510608034,-0.0559789001
1.42,-0.0500608034,-0.0546249321
1.43,-0.0480608034,-0.053242984
1.44,-0.0470608034,-0.0518356458
1.45,-0.0460608034,-0.0504055943
1.46,-0.0450608034,-0.0489555738
1.47,-0.0430608034,-0.0474883767
1.48,-0.0420608034,-0.0460068218
1.49,-0.0410608034,-0.0445137345
1.5,-0.0390608034,-0.0430119254
1.51,-0.0380608034,-0.0415041706
1.52,-0.0370608034,-0.0399931921
1.53,-0.0350608034,-0.0384816398
1.54,-0.0340608034,-0.0369720742
1.55,-0.0330608034,-0.0354669519
1.56,-0.0310608034,-0.033968612
1.57,-0.0300608034,-0.0324792652
1.58,-0.0290608034,-0.0310009846
1.59,-0.0270608034,-0.0295356991
1.6,-0.0260608034,-0.0280851895
1.61,-0.0250608034,-0.0266510867
1.62,-0.0230608034,-0.0252348717
1.63,-0.0220608034,-0.0238378795
1.64,-0.0210608034,-0.0224613031
1.65,-0.0190608034,-0.0211062016
1.66,-0.0180608034,-0.0197735084
1.67,-0.0170608034,-0.0184640427
1.68,-0.0160608034,-0.0171785206
1.69,-0.0140608034,-0.0159175692
1.7,-0.0130608034,-0.01468174
1.71,-0.0120608034,-0.0134715238
1.72,-0.0110608034,-0.0122873657
1.73,-0.0100608034,-0.0111296797
1.74,-0.00906080337,-0.00999886302
1.75,-0.00806080337,-0.00889531058
1.76,-0.00606080337,-0.00781942744
1.77,-0.00506080337,-0.00677164089
1.78,-0.00406080337,-0.00575241084
1.79,-0.00306080337,-0.00476223876
1.8,-0.00306080337,-0.00380167486
1.81,-0.00206080337,-0.0028713234
1.82,-0.00106080337,-0.00197184607
1.83,-6.08033657e-05,-0.00110396331
1.84,0.000939196634,-0.000268453698
1.85,0.00193919663,0.000533848786
1.86,0.00193919663,0.00130205934
1.87,0.00293919663,0.00203524885
1.88,0.00393919663,0.00273245203
1.89,0.00393919663,0.00339267725
1.9,0.00493919663,0.00401491761
1.91,0.00593919663,0.00459816324
1.92,0.00593919663,0.00514141454
1.93,0.00693919663,0.00564369603
1.94,0.00693919663,0.00610407067
1.95,0.00693919663,0.00652165431
1.96,0.00793919663,0.00689563002
1.97,0.00793919663,0.00722526207
1.98,0.00893919663,0.00750990918
1.99,0.00893919663,0.00774903703
2,0.00893919663,0.00794222953
2.01,0.00893919663,0.00808919887
2.02,0.00893919663,0.00818979408
2.03,0.00893919663,0.0082440079
2.04,0.00993919663,0.00825198194
2.05,0.00993919663,0.00821401004
2.06,0.00993919663,0.00813053962
2.07,0.00993919663,0.00800217126
2.08,0.00893919663,0.00782965626
2.09,0.00893919663,0.00761389248
2.1,0.00893919663,0.00735591828
2.11,0.00893919663,0.00705690492
2.12,0.00893919663,0.0067181474
2.13,0.00893919663,0.006341054
2.14,0.00793919663,0.00592713459
2.15,0.00793919663,0.00547798808
2.16,0.00793919663,0.00499528911
2.17,0.00693919663,0.00448077425
2.18,0.00693919663,0.00393622794
2.19,0.00693919663,0.00336346843
2.2,0.00593919663,0.00276433397
2.21,0.00593919663,0.00214066937
2.22,0.00493919663,0.00149431337
2.23,0.00493919663,0.000827086692
2.24,0.00393919663,0.000140781362
2.25,0.00393919663,-0.000562848923
2.26,0.00293919663,-0.00128209698
2.27,0.00293919663,-0.0020153089
2.28,0.00193919663,-0.00276088922
2.29,0.000939196634,-0.00351730458
2.3,0.000939196634,-0.0042830857
2.31,-6.08033657e-05,-0.00505682773
2.32,-6.08033657e-05,-0.00583718918
